vehicle_id,p_start,p_temp,p_end,pre_routes,pre_regions,freq,label
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.78068, 39.78832)","('empty', '张采路', 'g103')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'yulinzhuang_tongzhou')",230,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.72248, 39.80933)","('empty', '张采路', 'x005')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'daxinzhuang_tongzhou')",230,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.70688, 39.828)","('empty', '张采路', '何牌路')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'pailouying_tongzhou')",230,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.65825, 39.88672)","('empty', '张采路', '京塘路')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'lianggezhuang_tongzhou')",590,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.65188, 39.90548)","('empty', '张采路', '中山大街')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'none_tongzhou')",590,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.63673, 39.91505)","('empty', '张采路', '通惠北路')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'none_tongzhou')",590,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.61143, 39.90532)","('empty', '张采路', 'jianguo')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'sixingzhuang_chaoyang')",1770,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.57235, 39.91355)","('empty', '张采路', 'chaoyang')","('dianzhuang_tongzhou', 'houjie_tongzhou', '定福庄_chaoyang')",1180,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.72455, 39.82417)","('empty', 'y762', 'empty')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'daxinzhuang_tongzhou')",899,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.78068, 39.78832)","('empty', 'y762', 'g103')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'yulinzhuang_tongzhou')",31,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.72248, 39.80933)","('empty', 'y762', 'x005')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'daxinzhuang_tongzhou')",31,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.70688, 39.828)","('empty', 'y762', '何牌路')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'pailouying_tongzhou')",31,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.69812, 39.83917)","('empty', 'y762', '张采路')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'maying_tongzhou')",186,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.65825, 39.88672)","('empty', 'y762', '京塘路')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'lianggezhuang_tongzhou')",31,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.65188, 39.90548)","('empty', 'y762', '中山大街')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'none_tongzhou')",31,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.63673, 39.91505)","('empty', 'y762', '通惠北路')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'none_tongzhou')",31,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.61143, 39.90532)","('empty', 'y762', 'jianguo')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'sixingzhuang_chaoyang')",93,False
7,"(116.76038, 39.79758)","(116.71253, 39.8379)","(116.57235, 39.91355)","('empty', 'y762', 'chaoyang')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', '定福庄_chaoyang')",62,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.8042, 39.76268)","('empty', 'g103', 'empty')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', '马堤村_tongzhou')",539,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.72248, 39.80933)","('empty', 'g103', 'x005')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', 'daxinzhuang_tongzhou')",49,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.70688, 39.828)","('empty', 'g103', '何牌路')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', 'pailouying_tongzhou')",49,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.69812, 39.83917)","('empty', 'g103', '张采路')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', 'maying_tongzhou')",294,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.65825, 39.88672)","('empty', 'g103', '京塘路')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', 'lianggezhuang_tongzhou')",49,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.65188, 39.90548)","('empty', 'g103', '中山大街')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', 'none_tongzhou')",49,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.63673, 39.91505)","('empty', 'g103', '通惠北路')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', 'none_tongzhou')",49,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.61143, 39.90532)","('empty', 'g103', 'jianguo')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', 'sixingzhuang_chaoyang')",147,False
7,"(116.76038, 39.79758)","(116.78068, 39.78832)","(116.57235, 39.91355)","('empty', 'g103', 'chaoyang')","('dianzhuang_tongzhou', 'yulinzhuang_tongzhou', '定福庄_chaoyang')",98,False
7,"(116.76038, 39.79758)","(116.65188, 39.90548)","(116.63673, 39.91505)","('empty', '中山大街', '通惠北路')","('dianzhuang_tongzhou', 'none_tongzhou', 'none_tongzhou')",60,False
7,"(116.76038, 39.79758)","(116.65188, 39.90548)","(116.61143, 39.90532)","('empty', '中山大街', 'jianguo')","('dianzhuang_tongzhou', 'none_tongzhou', 'sixingzhuang_chaoyang')",180,False
7,"(116.76038, 39.79758)","(116.65188, 39.90548)","(116.57235, 39.91355)","('empty', '中山大街', 'chaoyang')","('dianzhuang_tongzhou', 'none_tongzhou', '定福庄_chaoyang')",120,False
7,"(116.76038, 39.79758)","(116.63673, 39.91505)","(116.61143, 39.90532)","('empty', '通惠北路', 'jianguo')","('dianzhuang_tongzhou', 'none_tongzhou', 'sixingzhuang_chaoyang')",180,False
7,"(116.76038, 39.79758)","(116.63673, 39.91505)","(116.57235, 39.91355)","('empty', '通惠北路', 'chaoyang')","('dianzhuang_tongzhou', 'none_tongzhou', '定福庄_chaoyang')",120,False
7,"(116.76038, 39.79758)","(116.61143, 39.90532)","(116.59698, 39.90833)","('empty', 'jianguo', 'jianguo')","('dianzhuang_tongzhou', 'sixingzhuang_chaoyang', '杨闸村_chaoyang')",180,False
7,"(116.76038, 39.79758)","(116.61143, 39.90532)","(116.57235, 39.91355)","('empty', 'jianguo', 'chaoyang')","('dianzhuang_tongzhou', 'sixingzhuang_chaoyang', '定福庄_chaoyang')",360,False
7,"(116.76038, 39.79758)","(116.57235, 39.91355)","(116.55247, 39.91493)","('empty', 'chaoyang', 'chaoyang')","('dianzhuang_tongzhou', '定福庄_chaoyang', '定福庄_chaoyang')",60,False
7,"(116.72105, 39.81482000000001)","(116.70168, 39.8301)","(116.6892, 39.8266)","('x005', '何牌路', 'empty')","('daxinzhuang_tongzhou', 'pailouying_tongzhou', 'qishanzhuang_tongzhou')",116,False
7,"(116.72105, 39.81482000000001)","(116.70168, 39.8301)","(116.6965, 39.83013)","('x005', '何牌路', '张采路')","('daxinzhuang_tongzhou', 'pailouying_tongzhou', 'houjie_tongzhou')",52,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.71878, 39.82333)","('x005', 'empty', 'x005')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'daxinzhuang_tongzhou')",160,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.73115, 39.79662)","('x005', 'empty', 'empty')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'zhongxinzhuang_tongzhou')",3490,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.77232, 39.81688)","('x005', 'empty', '京塘路')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'lianggezhuang_tongzhou')",207,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.71522, 39.8281)","('x005', 'empty', '张凤路')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'hegezhuang_tongzhou')",39,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.6965, 39.83013)","('x005', 'empty', '张采路')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'houjie_tongzhou')",1302,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.71253, 39.8379)","('x005', 'empty', 'y762')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'hegezhuang_tongzhou')",57,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.78068, 39.78832)","('x005', 'empty', 'g103')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'yulinzhuang_tongzhou')",111,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.70688, 39.828)","('x005', 'empty', '何牌路')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'pailouying_tongzhou')",142,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.65188, 39.90548)","('x005', 'empty', '中山大街')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'none_tongzhou')",150,False
7,"(116.72105, 39.81482000000001)","(116.6892, 39.8266)","(116.63673, 39.91505)","('x005', 'empty', '通惠北路')","('daxinzhuang_tongzhou', 'qishanzhuang_tongzhou', 'none_tongzhou')",150,False
